EFFECTIVE_DATE,TYPE,SUBTYPE,EMP_ID,FULL_NAME,FIRST_NAME,LAST_NAME,MIDDLE_NAME_INITIAL,EMAIL,FTE_TYPE,WORK_LOC_STATUS,FULL_TIME_PART_TIME,EXEMPT_BONUS_FLAG,STATUS_ACTIVE_TERMED,ACQUIRED_COMPANY_NAME,COMPENSATION_GRADE,HIRE_DATE,COMPENSATION_GRADE_GROUPING,HIRE_APPROVAL_DATE,CONTINUOUS_SERVICE_DATE,TERMINATION_DATE,TERMINATION_APPROVAL_DATE,TERMINATION_REGRET_NONREGRET,TERMINATION_VOL_INVOL,LAST_WORK_DATE,LENGTH_OF_SERVICE,TENURE_GROUPING,ECOMM_ROLLUP,MANAGER_ID,MANAGER_NAME,MGT_CHAIN_LVL_01_NM,MGT_CHAIN_LVL_02_NM,MGT_CHAIN_LVL_03_NM,MGT_CHAIN_LVL_04_NM,MGT_CHAIN_LVL_05_NM,MGT_CHAIN_LVL_06_NM,MGT_CHAIN_LVL_07_NM,MGT_CHAIN_LVL_08_NM,MGT_CHAIN_LVL_09_NM,MGT_CHAIN_LVL_10_NM,MGT_CHAIN_LVL_11_NM,MGT_CHAIN_LVL_12_NM,MGT_CHAIN_LVL_13_NM,MGT_CHAIN_LVL_14_NM,IS_MANAGER_FLAG,EMP_BUSINESS_TITLE,AE_VS_NONAE_TOTAL_COMPANY,EMP_LOCATION_STATE_COUNTRY_CITY,EMP_MARKET_SEGMENT_SALES_CSG_ONLY,EMP_COMPANY_ENTITY_ID,EMP_COMPANY_ENTITY_NAME,EMP_GEOGRAPHIC_REGION_DIVISION,EMP_CONSOLIDATED_GEO,EMP_PCC_ID,EMP_PCC_NAME,EMP_FTE_TIME_PERCENTAGE,EMP_PRIMARY_JOB_WORKSPACE,EMP_RECORD_DELETE_FLAG,JOB_CODE_ID,JOB_NAME,JOB_FAMILY,JOB_FAMILY_GROUP,ABV_HIERARCHY_LEVEL_0,ABV_HIERARCHY_LEVEL_1,ABV_HIERARCHY_LEVEL_2,ABV_HIERARCHY_LEVEL_3,COST_CENTER_ID,COST_CENTER_NAME,BUSINESS_UNIT_ID,BUSINESS_UNIT_NAME,PRODUCT_ID,PRODUCT_NAME,INDUSTRY_ID,INDUSTRY_NAME,MARKET_SEGMENT_ID,MARKET_SEGMENT_NAME,REGION_HIERARCHY,AE_FLAG,CURRENT_POSITION_EFCTV_DT,LAST_POSITION_CHNG_EFCTV_DT,POSITION_ID,POSITION_NAME,STAFFING_STATUS,PRIMARY_POSITION,POSITION_VACATED_DATE,CURRENT_POSITION_FILLED,PLANNING_ORG_ID,PLANNING_ORG_NAME,FISCAL_QUARTER_NAME,FISCAL_QUARTER_WITH_YEAR,FISCAL_YEAR,FISCAL_YEAR_NAME,FISCAL_YEAR_MONTH,FISCAL_MONTH_NAME,FISCAL_QUARTER_YEAR,FY_MONTH_YEAR,EOW_FLAG,EOM_FLAG,FISCAL_EOQ_FLAG,FISCAL_EOY_FLAG,RECORD_COUNT,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,SOURCE_CREATED_BY,SOURCE_CREATION_DATE,SOURCE_LAST_UPDATED_BY,SOURCE_LAST_UPDATE_DATE
2025-01-01,EMP,HEADCOUNT,E00011,Employee 11,First11,Last11,A,emp11@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-01,Mid,2025-01-01,2025-01-01,,,,,,11.0,0-5 Years,Ecomm,M2,Manager2,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC11,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-01,2025-01-01,POS11,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599715,SYSTEM,2026-07-01 09:13:04.599716,SYSTEM,2026-07-01 09:13:04.599716,SYSTEM,2026-07-01 09:13:04.599716
2025-01-02,EMP,HEADCOUNT,E00012,Employee 12,First12,Last12,A,emp12@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-02,Mid,2025-01-02,2025-01-02,,,,,,12.0,0-5 Years,Ecomm,M3,Manager3,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC12,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-02,2025-01-02,POS12,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599721,SYSTEM,2026-07-01 09:13:04.599721,SYSTEM,2026-07-01 09:13:04.599721,SYSTEM,2026-07-01 09:13:04.599722
2025-01-03,EMP,HEADCOUNT,E00013,Employee 13,First13,Last13,A,emp13@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-03,Mid,2025-01-03,2025-01-03,,,,,,13.0,0-5 Years,Ecomm,M4,Manager4,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC13,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-03,2025-01-03,POS13,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599726,SYSTEM,2026-07-01 09:13:04.599726,SYSTEM,2026-07-01 09:13:04.599726,SYSTEM,2026-07-01 09:13:04.599726
2025-01-04,EMP,HEADCOUNT,E00014,Employee 14,First14,Last14,A,emp14@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-04,Mid,2025-01-04,2025-01-04,,,,,,14.0,0-5 Years,Ecomm,M5,Manager5,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC14,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-04,2025-01-04,POS14,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599730,SYSTEM,2026-07-01 09:13:04.599731,SYSTEM,2026-07-01 09:13:04.599731,SYSTEM,2026-07-01 09:13:04.599731
2025-01-05,EMP,HEADCOUNT,E00015,Employee 15,First15,Last15,A,emp15@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-05,Mid,2025-01-05,2025-01-05,,,,,,15.0,0-5 Years,Ecomm,M6,Manager6,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC15,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-05,2025-01-05,POS15,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599735,SYSTEM,2026-07-01 09:13:04.599736,SYSTEM,2026-07-01 09:13:04.599736,SYSTEM,2026-07-01 09:13:04.599736
2025-01-06,EMP,HEADCOUNT,E00016,Employee 16,First16,Last16,A,emp16@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-06,Mid,2025-01-06,2025-01-06,,,,,,16.0,0-5 Years,Ecomm,M7,Manager7,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC16,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-06,2025-01-06,POS16,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599741,SYSTEM,2026-07-01 09:13:04.599741,SYSTEM,2026-07-01 09:13:04.599742,SYSTEM,2026-07-01 09:13:04.599742
2025-01-07,EMP,HEADCOUNT,E00017,Employee 17,First17,Last17,A,emp17@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-07,Mid,2025-01-07,2025-01-07,,,,,,17.0,0-5 Years,Ecomm,M8,Manager8,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC17,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-07,2025-01-07,POS17,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599746,SYSTEM,2026-07-01 09:13:04.599746,SYSTEM,2026-07-01 09:13:04.599747,SYSTEM,2026-07-01 09:13:04.599747
2025-01-08,EMP,HEADCOUNT,E00018,Employee 18,First18,Last18,A,emp18@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-08,Mid,2025-01-08,2025-01-08,,,,,,18.0,0-5 Years,Ecomm,M9,Manager9,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC18,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-08,2025-01-08,POS18,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599752,SYSTEM,2026-07-01 09:13:04.599752,SYSTEM,2026-07-01 09:13:04.599752,SYSTEM,2026-07-01 09:13:04.599752
2025-01-09,EMP,HEADCOUNT,E00019,Employee 19,First19,Last19,A,emp19@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-09,Mid,2025-01-09,2025-01-09,,,,,,19.0,0-5 Years,Ecomm,M10,Manager10,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC19,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-09,2025-01-09,POS19,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599796,SYSTEM,2026-07-01 09:13:04.599796,SYSTEM,2026-07-01 09:13:04.599797,SYSTEM,2026-07-01 09:13:04.599797
2025-01-10,EMP,HEADCOUNT,E00020,Employee 20,First20,Last20,A,emp20@test.com,Regular,Hybrid,FULL_TIME,Y,ACTIVE,CompanyX,G5,2025-01-10,Mid,2025-01-10,2025-01-10,,,,,,20.0,0-5 Years,Ecomm,M1,Manager1,Leader1,Leader2,Leader3,Leader4,Leader5,Leader6,Leader7,Leader8,Leader9,Leader10,Leader11,Leader12,Leader13,Leader14,N,Software Engineer,NONAE,"Bangalore,India",Enterprise,CE1,Entity1,APAC,India,PCC1,Engineering,100,Office,N,JC20,Engineer,Technology,Engineering,L0,L1,L2,L3,CC1,IT,BU1,Tech,PR1,ProductA,IN1,Software,MS1,Enterprise,India>South,N,2025-01-10,2025-01-10,POS20,SE,Filled,Y,,Y,ORG1,Planning Org,Q1,Q1 FY25,2025,FY25,2025-01,January,Q1-2025,Jan-2025,N,N,N,N,1,SYSTEM,2026-07-01 09:13:04.599802,SYSTEM,2026-07-01 09:13:04.599803,SYSTEM,2026-07-01 09:13:04.599803,SYSTEM,2026-07-01 09:13:04.599803
